ID	SEX	AGE	EDUC	ETHNIC	EMPLOY	MARITAL	SEXN
1576	"M"	34	7	5	1	2	1
1577	"M"	34	6	5	1	2	1
1578	"M"	44	3	5	2	2	1
1579	"M"	65	8	5	3	2	1
1580	"M"	47	6	5	1	2	1
1581	"F"	42	5	5	2	2	2
1582	"M"	42	6	5	1	2	1
1583	"F"	74	4	5	3	2	2
1584	"F"	44	6	5	1	3	2
1585	"M"	39	8	5	1	2	1
1586	"M"	52	8	5	1	3	1
1587	"M"	30	7	5	6	2	1
1588	"F"	40	6	5	1	2	2
1589	"M"	46	5	5	1	2	1
1590	"M"	39					1
1591	"M"	37					1
1592	"M"	41	5	5	1	2	1
1593	"M"	49					1
1594	"M"	39	6	5	1	2	1
1595	"M"	46	7	6	1	2	1
1596	"M"	38	6	5	1	2	1
1597	"M"	52					1
1598	"M"	34	6	5	1	2	1
1599	"M"	43					1
1600	"M"	51	8	5	1	2	1
1602	"F"	32	5	5	1	2	2
1603	"M"	36	7	5	1	2	1
1604	"M"	45	5	5	1	6	1
1605	"M"	51	8	5	1	2	1
1606	"F"	45	7	5	2	2	2
1607	"M"	34	6	5	1	2	1
1608	"M"	62	5	5	3	2	1
1609	"F"	70	5	5	3	2	2
1610	"F"	48	5	5	6	2	2
1611	"M"	44	5	5	1	2	1
1612	"M"	51	8	5	1	2	1
1613	"M"	33	6	5	1	2	1
1614	"F"	42	6	5	4	2	2
1615	"F"	41					2
1616	"F"	49	6	5	2	2	2
1617	"M"	43	6	5	6	2	1
1618	"M"	40	3	5	1	2	1
1619	"M"	42	5	5	1	2	1
1620	"F"	54	6	5	6	2	2
1621	"M"	44	5	5	6	2	1
1623	"M"	36	7	5	1	2	1
1624	"F"	57	4	5	1	4	2
1625	"M"	46	5	5	1	3	1
1627	"F"	45	3	5	4	2	2
1628	"F"	45	7	5	1	2	2
1629	"M"	63	8	5	3	2	1
1630	"F"	40	4	5	4	2	2
1631	"M"	39	8	5	1	2	1
1632	"M"	37	8	5	1	2	1
1633	"F"	35	8	5	2	2	2
1634	"M"	48	8	5	1	2	1
1635	"F"	46	7	5	1	2	2
1636	"F"	51					2
1637	"M"	43	6	5	1	2	1
1638	"M"	65	6	5	6	2	1
1639	"M"	48	5	5	1	2	1
1640	"M"	58	5	5	1	2	1
1641	"M"	38	8	5	1	2	1
1642	"M"	34					1
1643	"F"	44	5	5	6	2	2
1644	"M"	43	8	5	1	2	1
1645	"M"	37	3	5	1	2	1
1646	"M"	48	7	5	1	2	1
1647	"F"	47	6	5	2	2	2
1648	"M"	58	6	5	1	2	1
1649	"M"	52	6	5	1	2	1
1650	"M"	59	7	5	6	2	1
1652	"M"	83	5	5	3	2	1
1653	"F"	32	4	5	4	5	2
1654	"M"	40	5	5	1	4	1
1655	"M"	38	5	5	1	2	1
1656	"M"	50	6	5	1	2	1
1657	"M"	75	2	5	3	2	1
1658	"M"	40					1
1659	"M"	51	7	5	1	2	1
1660	"M"	89	1	5	3	2	1
1661	"M"	55	8	5	3	2	1
1662	"M"	41	7	2	1	2	1
1663	"M"	35	6	5	1	2	1
1665	"M"	63	3	5	2	2	1
1666	"M"	47	6	5	1	2	1
1667	"M"	56	6	5	1	2	1
1668	"M"	34	6	5	1	2	1
1669	"F"	75	3	5	4	2	2
1670	"F"	60	6	5	2	2	2
1671	"M"	52	3	5	1	2	1
1672	"F"	37	6	5	2	2	2
1673	"M"	18	5	5	1	1	1
1674	"M"	47	5	5	2	2	1
1675	"M"	40	6	5	1	2	1
1676	"F"	38	5	5	2	2	2
1677	"F"	60	6	5	3	2	2
1678	"M"	45	5	5	6	2	1
1679	"M"	49	8	5	1	2	1
1680	"M"	41	6	5	1	2	1
1681	"M"	49	8	5	1	2	1
1682	"M"	47	8	5	1	2	1
1683	"M"	42	6	5	1	2	1
1684	"M"	45	5	5	1	2	1
1685	"M"	49	6	5	1	2	1
1686	"M"	41	8	5	1	2	1
1687	"M"	47	6	5	1	2	1
1688	"M"	69	4	5	3	2	1
1689	"M"	44					1
1690	"M"	23	5	3	1	1	1
1691	"F"	34	6	5	4	2	2
1692	"F"	49					2
1693	"M"	46	8	5	1	3	1
1694	"F"	49	6	5	4	2	2
1695	"M"	65	4	5	3	2	1
1696	"M"	49	7	5	1	2	1
1697	"F"	45	7	5	2	2	2
1698	"M"	54	4	5	3	2	1
1699	"M"	33	3	5	1	2	1
1700	"F"	40					2
1701	"F"	37	7	5	1	2	2
1702	"M"	41	8	5	1	2	1
1703	"F"	37	6	5	6	3	2
1704	"F"	40	7	5	2	2	2
1705	"F"	62	6	5	3	2	2
1706	"F"	73	3	5	4	2	2
1707	"F"	27	5	5	4	2	2
1708	"M"	42	6	5	1	2	1
1709	"F"	29	7	5	1	2	2
1710	"M"	29	8	5	1	2	1
1711	"F"	50	5	5	1	2	2
1712	"M"	51	4	5	1	2	1
1713	"F"	37	3	5	4	2	2
1714	"F"	49	6	5	1	2	2
1715	"F"	41	6	5	1	2	2
1716	"M"	48	4	5	1	2	1
1717	"F"	21	5	5	1	1	2
1719	"M"	43	6	5	6	5	1
1720	"F"	51	5	5	2	2	2
1721	"F"	32	4	5	1	2	2
1722	"F"	35	8	5	2	2	2
1723	"M"	46	8	5	1	2	1
1724	"F"	42	5	5	1	3	2
1725	"M"	61	8	5	1	2	1
1726	"M"	51	8	5	1	2	1
1727	"M"	50	7	5	1	2	1
1728	"M"	70	8	5	3	2	1
1729	"M"	50	8	5	1	2	1
1730	"M"	66	3	5	3	2	1
1731	"M"	60					1
1732	"F"	31	4	5	6	2	2
1733	"F"	35	5	5	1	2	2
